Model,CV ROC-AUC,Test ROC-AUC,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Random Forest,0.7006280337334834,0.667778354269978,0.9022453450164294,0.9090909090909091,0.0273224043715847,0.05305039787798409,1350.3887617588043
XGBoost,0.7132663344913992,0.6772888126145363,0.9055312157721797,0.9565217391304348,0.060109289617486336,0.11311053984575835,2446.681137084961
Gradient Boosting,0.7081306255919131,0.6760099977051175,0.901697699890471,1.0,0.01912568306010929,0.03753351206434316,6349.459584951401
